Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MyInfoQualifications,Chrome 127.0.0.0,,,02-08-2024 17:21:04,02-08-2024 17:27:02,5m - 57.967s,FAILED
,,,,,,,
Test Cases/MyInfo/Qualifications/VerifyAddingEducation,Chrome 127.0.0.0,,MyInfo,02-08-2024 17:23:51,02-08-2024 17:24:45,53.550s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 17:23:51,02-08-2024 17:23:54,2.563s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 17:23:54,02-08-2024 17:23:59,5.416s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/input_Username_username""), ""Admin123"")",Chrome 127.0.0.0,,,02-08-2024 17:23:59,02-08-2024 17:24:01,2.341s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MyInfo/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 127.0.0.0,,,02-08-2024 17:24:01,02-08-2024 17:24:03,1.211s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 17:24:03,02-08-2024 17:24:04,1.886s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MyInfo/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 127.0.0.0,,,02-08-2024 17:24:04,02-08-2024 17:24:06,1.221s,PASSED
"click(findTestObject(""Object Repository/MyInfo/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 17:24:06,02-08-2024 17:24:08,1.914s,PASSED
"click(findTestObject(""Object Repository/MyInfo/span_My Info""))",Chrome 127.0.0.0,,,02-08-2024 17:24:08,02-08-2024 17:24:45,36.950s,FAILED
,,,,,,,
Test Cases/MyInfo/Qualifications/VerifyAddingWorkExperience,Chrome 127.0.0.0,,MyInfo,02-08-2024 17:26:39,02-08-2024 17:27:02,22.333s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 17:26:39,02-08-2024 17:26:42,2.704s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 17:26:42,02-08-2024 17:26:48,5.600s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 17:26:48,02-08-2024 17:26:50,2.366s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MyInfo/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 127.0.0.0,,,02-08-2024 17:26:50,02-08-2024 17:26:51,1.353s,PASSED
"click(findTestObject(""Object Repository/MyInfo/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 17:26:51,02-08-2024 17:26:54,2.261s,PASSED
"click(findTestObject(""Object Repository/MyInfo/a_My Info""))",Chrome 127.0.0.0,,,02-08-2024 17:26:54,02-08-2024 17:26:56,2.747s,PASSED
"click(findTestObject(""Object Repository/MyInfo/a_Qualifications""))",Chrome 127.0.0.0,,,02-08-2024 17:26:56,02-08-2024 17:26:59,2.286s,PASSED
"click(findTestObject(""Object Repository/MyInfo/button_Add""))",Chrome 127.0.0.0,,,02-08-2024 17:26:59,02-08-2024 17:27:01,2.309s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/input_Password_oxd-input oxd-input--active""), ""nmbhvhjghg"")",Chrome 127.0.0.0,,,02-08-2024 17:27:01,02-08-2024 17:27:02,0.641s,FAILED
