Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LeaveConfigurationsSuite,Chrome 127.0.0.0,,,02-08-2024 18:20:29,02-08-2024 18:43:54,23m - 24.969s,FAILED
,,,,,,,
Test Cases/LeaveModule/LeaveConfigurations/VerifyAddingNewLeave,Chrome 127.0.0.0,,Leave,02-08-2024 18:24:56,02-08-2024 18:26:42,1m - 45.630s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 18:24:56,02-08-2024 18:25:06,9.816s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 18:25:06,02-08-2024 18:25:38,31.988s,PASSED
"setText(findTestObject(""Object Repository/Leave/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 18:25:38,02-08-2024 18:25:51,12.883s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Leave/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 127.0.0.0,,,02-08-2024 18:25:51,02-08-2024 18:25:56,4.519s,PASSED
"click(findTestObject(""Object Repository/Leave/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 18:25:56,02-08-2024 18:26:01,5.774s,PASSED
"click(findTestObject(""Object Repository/Leave/a_Leave""))",Chrome 127.0.0.0,,,02-08-2024 18:26:01,02-08-2024 18:26:29,27.795s,PASSED
"click(findTestObject(""Object Repository/Leave/li_Configure""))",Chrome 127.0.0.0,,,02-08-2024 18:26:29,02-08-2024 18:26:35,6.208s,PASSED
"click(findTestObject(""Object Repository/Leave/a_Holidays""))",Chrome 127.0.0.0,,,02-08-2024 18:26:35,02-08-2024 18:26:41,5.117s,PASSED
"click(findTestObject(""Object Repository/Leave/UserTypeDropDownInAddPage""))",Chrome 127.0.0.0,,,02-08-2024 18:26:41,02-08-2024 18:26:42,1.300s,FAILED
,,,,,,,
Test Cases/LeaveModule/LeaveConfigurations/VerifyAddingNewLeaveType,Chrome 127.0.0.0,,Leave,02-08-2024 18:30:58,02-08-2024 18:32:24,1m - 26.121s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 18:30:58,02-08-2024 18:31:12,13.696s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 18:31:12,02-08-2024 18:31:31,19.267s,PASSED
"setText(findTestObject(""Object Repository/Leave/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 18:31:31,02-08-2024 18:31:41,9.903s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Leave/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 127.0.0.0,,,02-08-2024 18:31:41,02-08-2024 18:31:47,5.871s,PASSED
"click(findTestObject(""Object Repository/Leave/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 18:31:47,02-08-2024 18:31:53,6.793s,PASSED
"click(findTestObject(""Object Repository/Leave/span_Leave""))",Chrome 127.0.0.0,,,02-08-2024 18:31:53,02-08-2024 18:32:09,15.400s,PASSED
"click(findTestObject(""Object Repository/Leave/span_Configure""))",Chrome 127.0.0.0,,,02-08-2024 18:32:09,02-08-2024 18:32:13,4.074s,PASSED
"click(findTestObject(""Object Repository/Leave/a_Leave Types""))",Chrome 127.0.0.0,,,02-08-2024 18:32:13,02-08-2024 18:32:19,6.246s,PASSED
"click(findTestObject(""Object Repository/Leave/button_Add""))",Chrome 127.0.0.0,,,02-08-2024 18:32:19,02-08-2024 18:32:23,3.762s,PASSED
"setText(findTestObject(""Object Repository/Leave/input_Password_oxd-input oxd-input--active""), ""knxckzdnj"")",Chrome 127.0.0.0,,,02-08-2024 18:32:23,02-08-2024 18:32:24,1.035s,FAILED
,,,,,,,
Test Cases/LeaveModule/LeaveConfigurations/VerifyConfiguringWorkingdays,Chrome 127.0.0.0,,Leaves,02-08-2024 18:36:31,02-08-2024 18:38:04,1m - 32.932s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 18:36:31,02-08-2024 18:36:50,18.092s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 18:36:50,02-08-2024 18:37:03,13.305s,PASSED
"setText(findTestObject(""Object Repository/Leave/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 18:37:03,02-08-2024 18:37:15,12.399s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Leave/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 127.0.0.0,,,02-08-2024 18:37:15,02-08-2024 18:37:30,14.949s,PASSED
"click(findTestObject(""Object Repository/Leave/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 18:37:30,02-08-2024 18:37:43,12.441s,PASSED
"click(findTestObject(""Object Repository/Leave/a_Leave""))",Chrome 127.0.0.0,,,02-08-2024 18:37:43,02-08-2024 18:37:52,9.062s,PASSED
"click(findTestObject(""Object Repository/Leave/span_Configure""))",Chrome 127.0.0.0,,,02-08-2024 18:37:52,02-08-2024 18:37:55,3.558s,PASSED
"click(findTestObject(""Object Repository/Leave/a_Work Week""))",Chrome 127.0.0.0,,,02-08-2024 18:37:55,02-08-2024 18:38:03,7.434s,PASSED
"click(findTestObject(""Object Repository/Leave/UserTypeDropDownInAddPage""))",Chrome 127.0.0.0,,,02-08-2024 18:38:03,02-08-2024 18:38:04,1.648s,FAILED
,,,,,,,
Test Cases/LeaveModule/LeaveConfigurations/VerifyLeavePeriodConfigurations,Chrome 127.0.0.0,,Leave,02-08-2024 18:42:19,02-08-2024 18:43:54,1m - 34.646s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 18:42:19,02-08-2024 18:42:33,13.647s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,02-08-2024 18:42:33,02-08-2024 18:42:46,13.743s,PASSED
"setText(findTestObject(""Object Repository/Leave/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,02-08-2024 18:42:46,02-08-2024 18:42:58,12.137s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Leave/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 127.0.0.0,,,02-08-2024 18:42:58,02-08-2024 18:43:13,14.250s,PASSED
"click(findTestObject(""Object Repository/Leave/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 18:43:13,02-08-2024 18:43:23,9.965s,PASSED
"click(findTestObject(""Object Repository/Leave/span_Leave""))",Chrome 127.0.0.0,,,02-08-2024 18:43:23,02-08-2024 18:43:35,12.551s,PASSED
"click(findTestObject(""Object Repository/Leave/span_Reports""))",Chrome 127.0.0.0,,,02-08-2024 18:43:35,02-08-2024 18:43:39,3.546s,PASSED
"click(findTestObject(""Object Repository/Leave/li_Configure""))",Chrome 127.0.0.0,,,02-08-2024 18:43:39,02-08-2024 18:43:42,3.250s,PASSED
"click(findTestObject(""Object Repository/Leave/li_Leave Period""))",Chrome 127.0.0.0,,,02-08-2024 18:43:42,02-08-2024 18:43:52,10.262s,PASSED
"click(findTestObject(""Object Repository/Leave/UserTypeDropDownInAddPage""))",Chrome 127.0.0.0,,,02-08-2024 18:43:52,02-08-2024 18:43:54,1.246s,FAILED
