Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PersonalLeavesSuite,Chrome 127.0.0.0,,,05-08-2024 19:10:20,05-08-2024 19:52:13,41m - 53.415s,FAILED
,,,,,,,
Test Cases/LeaveModule/PersonalLeaves/VerifyApplyingLeave,Chrome 127.0.0.0,,Leave,05-08-2024 19:15:24,05-08-2024 19:15:54,30.073s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 19:15:24,05-08-2024 19:15:28,3.769s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,05-08-2024 19:15:28,05-08-2024 19:15:50,22.269s,PASSED
"setText(findTestObject(""Object Repository/Leave/input_Username_username""), ""Admin"")",Chrome 127.0.0.0,,,05-08-2024 19:15:50,05-08-2024 19:15:54,3.960s,FAILED
,,,,,,,
Test Cases/LeaveModule/PersonalLeaves/VerifyingCancellingLeave,Chrome 127.0.0.0,,Leave,05-08-2024 19:51:50,05-08-2024 19:52:13,23.534s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 19:51:50,05-08-2024 19:51:53,3.532s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 127.0.0.0,,,05-08-2024 19:51:53,05-08-2024 19:52:13,19.960s,FAILED
